CAS,Chemical Name,Smiles,Molecular Weight (g/mol),Averaged LD50 (g/kg),Averaged LD50 (mol/kg),-log10(mol/kg)
68359375,"3-(2,2-Dichloroethenyl)-2,2-dimethyl cyclopropanecarboxylic acid cyano(4-fluoro-3-phenoxyphenyl)methyl ester",CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2ccc(F)c(Oc3ccccc3)c2,434.29400000000015,0.0644333333333333,0.0001483633974527,3.9031394307747953
433192,"1,4-Bis(trifluoromethyl)benzene",FC(F)(F)c1ccc(cc1)C(F)(F)F,214.108,10.0,0.046705401012573,1.3306328947159514
10453868,"2,2-Dimethyl-3-(2-methyl-1-propen-1-yl)cyclopropanecarboxylic acid [5-(phenylmethyl)-3-furanyl]methyl ester",CC(C)=CC1C(C(=O)OCc2coc(Cc3ccccc3)c2)C1(C)C,338.44700000000006,1.39,0.0041069945959042,2.3864758686025236
60571,"(1aR,2R,2aS,3S,6R,6aR,7S,7aS)-rel-3,4,5,6,9,9-Hexachloro-1a,2,2a,3,6,6a,7,7a-octahydro-2,7:3,6-dimethanonaphth[2,3-b]oxirene ",ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,380.913,0.0099,2.5990186735553785e-05,4.699587763795392
28548096,"3,4,5,6,9,9-Hexachloro-1a,2,2a,3,6,6a,7,7a-octahydro-2,7:3,6-dimethanonaphth[2,3-b]oxiren-8-ol",OC1C2C3OC3C1C4C2C5(Cl)C(=C(Cl)C4(Cl)C5(Cl)Cl)Cl,396.9119999999999,0.005085,1.2811404039182496e-05,5.029126560418363
115322,4-Chloro-alpha-(4-chlorophenyl)-alpha-(trichloromethyl)benzenemethanol,OC(c1ccc(Cl)cc1)(c2ccc(Cl)cc2)C(Cl)(Cl)Cl,370.49,1.3225,0.0035695970201624,2.45110697380176
29804226,Disparlure,CCCCCCCCCC[C@H]1O[C@H]1CCCCC(C)C,282.512,34.6,0.1224726737271337,0.9119608008780736
732116,"S-[(1,3-Dihydro-1,3-dioxo-2H-isoindol-2-yl)methyl]O,O-dimethyl ester, Phosphorodithioic acid",CO[P](=S)(OC)SCN1C(=O)c2ccccc2C1=O,317.32800000000003,0.245,0.000772071799526,3.1123423101720196
2702729,"2-(2,4-Dichlorophenoxy)acetic acid sodium salt (1:1)",[Na+].[O-]CC(=O)Oc1ccc(Cl)cc1Cl,243.021,0.7969999999999999,0.0032795519728747,2.484818487632734
1861401,"N-Butyl-N-ethyl-2,6-dinitro-4-(trifluoromethyl)benzenamine",CCCCN(CC)c1c(cc(cc1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O,335.28200000000004,5.93,0.0176866041123591,1.9445018613540632
